Patient Code,Load (g),T Score,P Score,Significant
PC1,200,-0.2886224029858461,0.39166912974235757,0.0
PC1,400,1.1958972016354206,0.1340157718855101,0.0
PC1,600,2.417903068436271,0.021212031347442897,1.0
PC1,800,6.263356800023169,0.00014132137536705,1.0
PC1,1000,7.117253235742614,0.00012477294800555222,1.0
PC1,1200,16.434610415958787,1.0779609812218668e-07,1.0
PC2,200,0.16025647914707325,0.4386522425415545,0.0
PC2,400,0.5278307270124565,0.3076742779286023,0.0
PC2,600,1.305101969792154,0.11816304767359671,0.0
PC2,800,1.4575068187504236,0.09291619664096559,0.0
PC2,1000,10.178063398663879,3.8024944616725752e-06,1.0
PC2,1200,4.187237972527337,0.0015250397623979542,1.0
PC3,200,0.38831237212713055,0.3545499790611987,0.0
PC3,400,0.018869341545456657,0.49271217624498437,0.0
PC3,1200,16.341470107079797,9.922164996990434e-08,1.0
PC4,200,-0.04666766322636459,0.4819620021634002,0.0
PC4,400,1.5732977923468598,0.08777751988230204,0.0
PC4,600,6.735343419996386,7.607084270633913e-05,1.0
PC4,800,6.189972226979041,0.0001903165506798037,1.0
PC4,1000,4.864736201780435,0.0034629979699794125,1.0
PC5,200,0.7455501831226249,0.24405478827839494,0.0
PC5,400,0.2976507238405795,0.3877906526796443,0.0
PC5,800,1.0106966869994818,0.17423139101027035,0.0
PC5,1200,8.073158565728571,0.00038242134590366625,1.0
PC6,200,-0.2583869744451462,0.4016105296282744,0.0
PC6,400,0.495543898690671,0.3192889834557238,0.0
PC6,600,6.705277229977777,0.000480866240592734,1.0
PC6,1000,2.168492160585104,0.03589768276425826,1.0
PC6,1200,8.912453209743468,9.725727816046904e-05,1.0
PC7,200,0.6097214224993381,0.2819356695185127,0.0
PC7,400,0.27309799140521,0.39871755954290944,0.0
PC7,600,2.105660129915515,0.042105300517277,1.0
PC7,800,1.0721219573617067,0.1593443331463939,0.0
PC7,1000,4.608063167287296,0.0011867732646163554,1.0
PC7,1200,6.044712760309046,0.0002633940447860447,1.0
PC8,400,0.49590143329315467,0.31696126390275814,0.0
PC8,600,1.4036185206561946,0.1000599583405614,0.0
PC8,1000,4.7383189787081905,0.0023352190013756725,1.0
PC8,1200,4.952681766924134,0.000862198400522805,1.0
PC9,200,0.05135125909951861,0.48016717941038933,0.0
PC9,400,-0.5095810674327176,0.31209253367440515,0.0
PC9,600,2.1458677614270467,0.035247272695492785,1.0
PC9,800,3.677991965396641,0.0031211636921673106,1.0
PC9,1000,15.737457491142983,5.546734726269833e-07,1.0
PC9,1200,4.146317929198381,0.004489356328496933,1.0
PC10,200,-1.0932951517967644,0.15774665830131682,0.0
PC10,400,0.9345617607191614,0.19223227107899044,0.0
PC10,600,-0.12988057532125108,0.4504275511024203,0.0
PC10,1000,4.061814084890019,0.0018612826915553854,1.0
PC10,1200,15.15587344555779,1.2753216903717105e-06,1.0
PC11,200,0.4798851484346624,0.322261097380799,0.0
PC11,400,0.016424823665291605,0.49369580314998274,0.0
PC11,800,4.405381016931322,0.001163005275467781,1.0
PC11,1000,7.604592584017136,3.139799609671253e-05,1.0
PC11,1200,6.825191746801052,0.0001464328182577974,1.0
PC12,200,0.3803137284496531,0.3572386478464797,0.0
PC12,400,0.48469996429220313,0.3206765292019172,0.0
PC12,600,0.1350961098374798,0.44896716356629635,0.0
PC12,800,7.356923879131369,4.3736995987889584e-05,1.0
PC12,1000,9.87632007468944,0.0001382013844192614,1.0
PC12,1200,6.530421312010114,0.0006346369784592126,1.0
PC14,200,0.8146287080293597,0.2212626411809514,0.0
PC14,400,0.664601415455042,0.26271806630493105,0.0
PC14,600,1.0035915416601187,0.17288991761180936,0.0
PC14,800,7.087824291128739,0.00032164680125154583,1.0
PC14,1000,9.976277610178922,0.00017871993636118494,1.0
PC14,1200,6.897182213118492,6.716810994785538e-05,1.0
PC15,200,-0.37160675093171036,0.3625179964191543,0.0
PC15,400,0.5604156225945615,0.29659171123581707,0.0
PC15,800,2.266963783434722,0.02786403169943887,1.0
PC15,1000,-13.384903878597282,4.6899160606579515e-06,1.0
PC15,1200,19.702782027833678,4.416625651266026e-07,1.0
PC16,200,0.4295141119762382,0.34106042153114735,0.0
PC16,400,0.8323156825332875,0.22209637436815952,0.0
PC16,600,3.8479101973396657,0.0027499916686771924,1.0
PC16,800,3.588684098536929,0.004282542776979719,1.0
PC16,1000,6.154840296523659,0.00016785654824059786,1.0
PC16,1200,3.1988520092379766,0.007175465087545782,1.0
PC17,200,0.09095992847711672,0.4649755753795116,0.0
PC17,400,0.1460124644794667,0.4437726420443274,0.0
PC17,600,0.9964627804336723,0.17613215770357277,0.0
PC17,800,7.361216336819892,0.0002694861241008904,1.0
PC17,1000,2.3434320093260435,0.024197964769485616,1.0
PC17,1200,16.6125586293013,6.977444769862496e-06,1.0
PC18,200,0.36744047294425336,0.3623500939602909,0.0
PC18,400,0.8950908901574135,0.2014262730513678,0.0
PC18,600,10.53037229844335,5.9084137695669596e-05,1.0
PC18,800,23.443960384906266,6.184765135466158e-09,1.0
PC18,1000,14.198194398765564,3.212442435622617e-05,1.0
PC18,1200,36.347311802675954,2.9786523357844802e-08,1.0
PC19,200,1.348701606313802,0.10783897216711201,0.0
PC19,400,4.829503737660263,0.0008991560606335103,1.0
PC19,600,4.3495729137174175,0.0013104558500798445,1.0
PC19,800,19.48600268790262,2.5981491201778207e-08,1.0
PC19,1000,4.404570972117507,0.0038114868870966984,1.0
PC19,1200,7.6618374131422256,3.233648937925597e-05,1.0
PC20,200,0.21191556720452923,0.41938174638485043,0.0
PC20,600,0.10282343058114254,0.4607392672118627,0.0
PC20,800,0.07051155516032306,0.4729567656330618,0.0
PC20,1000,4.863789720814745,0.0015219028684768574,1.0
PC21,400,0.2483279451960571,0.4055706133217084,0.0
PC21,600,0.5029669232744733,0.31427270877624114,0.0
PC21,1000,17.22368636301504,1.164765472007138e-07,1.0
PC21,1200,13.34819110530889,3.118116727559723e-06,1.0
